timestamp_sec,direction,type,val1,val2,val3,val4,val5,val6
1773038701.376002,RX,IMU,-808,-196,17892,-273,150,17
1773038701.393967,RX,ODOM,0,0,,,,
1773038701.395742,RX,IMU,-908,-100,17956,-303,133,29
1773038701.413921,RX,ODOM,0,0,,,,
1773038701.415738,RX,IMU,-964,-64,17940,-292,143,18
1773038701.433744,RX,ODOM,0,0,,,,
1773038701.435558,RX,IMU,-928,12,18084,-306,142,27
1773038701.453747,RX,ODOM,0,0,,,,
1773038701.455468,RX,IMU,-840,-112,18040,-302,135,27
1773038701.473519,RX,ODOM,0,0,,,,
1773038701.475396,RX,IMU,-752,-212,18016,-300,123,15
1773038701.493428,RX,ODOM,0,0,,,,
1773038701.495286,RX,IMU,-940,-124,17832,-283,132,10
1773038701.513319,RX,ODOM,0,0,,,,
1773038701.515227,RX,IMU,-1032,32,17972,-305,144,16
1773038701.533213,RX,ODOM,0,0,,,,
1773038701.535109,RX,IMU,-960,64,18012,-300,164,50
1773038701.553176,RX,ODOM,0,0,,,,
1773038701.555017,RX,IMU,-700,-216,18008,-298,138,28
1773038701.572347,TX,VELOCITY,0,0,,,,
1773038701.573244,RX,ODOM,0,0,,,,
1773038701.574942,RX,IMU,-876,-340,17940,-290,129,12
1773038701.592940,RX,ODOM,0,0,,,,
1773038701.594772,RX,IMU,-1032,-108,18016,-299,144,23
1773038701.612848,RX,ODOM,0,0,,,,
1773038701.614766,RX,IMU,-1008,116,17888,-323,154,15
1773038701.632750,RX,ODOM,0,0,,,,
1773038701.634568,RX,IMU,-844,56,18136,-292,155,42
1773038701.652619,RX,ODOM,0,0,,,,
1773038701.654617,RX,IMU,-752,-68,17912,-265,146,45
1773038701.672651,RX,ODOM,0,0,,,,
1773038701.674371,RX,IMU,-792,-304,18008,-293,130,36
1773038701.692515,RX,ODOM,0,0,,,,
1773038701.694309,RX,IMU,-996,-236,17960,-305,151,20
1773038701.712403,RX,ODOM,0,0,,,,
1773038701.714242,RX,IMU,-1060,104,18024,-308,145,19
1773038701.732213,RX,ODOM,0,0,,,,
1773038701.734233,RX,IMU,-800,12,17924,-307,160,27
1773038701.752170,RX,ODOM,0,0,,,,
1773038701.754013,RX,IMU,-800,-100,17948,-301,148,20
1773038701.772076,RX,ODOM,0,0,,,,
1773038701.772262,TX,VELOCITY,0,0,,,,
1773038701.791936,RX,ODOM,0,0,,,,
1773038701.793775,RX,IMU,-936,-92,17924,-292,128,8
1773038701.811836,RX,ODOM,0,0,,,,
1773038701.813705,RX,IMU,-984,-4,18004,-307,133,-5
1773038701.831813,RX,ODOM,0,0,,,,
1773038701.833647,RX,IMU,-880,20,18112,-291,148,42
1773038701.851673,RX,ODOM,0,0,,,,
1773038701.853509,RX,IMU,-856,-16,17948,-302,146,28
1773038701.871538,RX,ODOM,0,0,,,,
1773038701.873384,RX,IMU,-868,-160,17976,-295,152,20
1773038701.891524,RX,ODOM,0,0,,,,
1773038701.893327,RX,IMU,-848,-116,17992,-313,124,14
1773038701.911283,RX,ODOM,0,0,,,,
1773038701.913265,RX,IMU,-912,-80,17988,-322,148,22
1773038701.931211,RX,ODOM,0,0,,,,
1773038701.933184,RX,IMU,-916,28,18008,-296,150,25
1773038701.951118,RX,ODOM,0,0,,,,
1773038701.952951,RX,IMU,-888,16,18024,-309,175,42
1773038701.971033,RX,ODOM,0,0,,,,
1773038701.972254,TX,VELOCITY,0,0,,,,
1773038701.972896,RX,IMU,-904,12,18032,-284,148,25
1773038701.990968,RX,ODOM,0,0,,,,
1773038701.992758,RX,IMU,-848,-264,17976,-285,132,47
1773038702.010897,RX,ODOM,0,0,,,,
1773038702.012741,RX,IMU,-908,-104,17992,-299,85,20
1773038702.030688,RX,ODOM,0,0,,,,
1773038702.032567,RX,IMU,-1040,-72,18024,-296,132,-1
